correct_sentence,incorrect_sentences
අපි බය වෙලා ඉන්නවා.,වෙලා බය අපි ඉන්නවා
ඔවුන් පුදුම වෙලා ඉන්නවා.,ඔවුන් පුදුම ඉන්නවා වෙලා
මම උදව් ඉල්ලනවා.,මම ඉල්ලනවා උදව්
ඔයා උදව් කරනවද?,කරනවද? උදව් ඔයා
ඔහුට උදව් අවශ්‍යයි.,උදව් ඔහුට අවශ්\u200dයයි
ඇය මට උදව් කළා.,මට ඇය උදව් කළා
අපි එකට වැඩ කරමු.,එකට අපි වැඩ කරමු
ඔවුන් සහයෝගයෙන් කටයුතු කරනවා.,සහයෝගයෙන් ඔවුන් කටයුතු කරනවා
මම පොතක් කියවමි.,පොතක් මම කියවමි
ඔයා චිත්‍රපටිය බලනවද?,බලනවද? චිත්\u200dරපටිය ඔයා
ඔහු ගීතයක් අසයි.,අසයි ගීතයක් ඔහු
ඇය නර්තනය කරයි.,ඇය කරයි නර්තනය
අපි සෙල්ලම් කරමු.,කරමු සෙල්ලම් අපි
ඔවුන් කතා කරයි.,ඔවුන් කරයි කතා
මම ගෙදරට යමි.,ගෙදරට මම යමි
ඔයා පාසලට යනවද?,පාසලට ඔයා යනවද?
ඔහු කඩේට යයි.,යයි කඩේට ඔහු
ඇය පන්සලට යයි.,යයි පන්සලට ඇය
අපි නුවරට යමු.,අපි යමු නුවරට
ඔවුන් කොළඹට යති.,ඔවුන් යති කොළඹට
මම බත් කන්නෙමි.,මම කන්නෙමි බත්
ඔයා තේ බොනවද?,ඔයා බොනවද? තේ
ඔහු කෝපි බොයි.,ඔහි කෝපි බොයි
ඇය කේක් කයි.,ඇය කයි කේක්
අපි පාන් කමු.,කමු පාන් අපි
ඔවුන් පළතුරු කති.,කති පළතුරු ඔවුන්
මම ලියුමක් ලියමි.,මම ලියමි ලියුමක්
ඔයා ඊමේලයක් යවන්නද?,ඊමේලයක් ඔයා යවන්නද?
ඔහු වාර්තාවක් ලියයි.,ඔමු වාර්තාවක් ලියයි
ඇය රචනාවක් ලියයි.,රචනාවක් ඇය ලියයි
අපි කවියක් ලියමු.,අපි ලියමු කවියක්
ඔවුන් නවකතාවක් ලියති.,නවකතාවක් ඔවුන් ලියති
මම සිංහල කතා කරමි.,සිංහල මම කතා කරමි
ඔයා ඉංග්‍රීසි කතා කරනවද?,කතා ඉංග්\u200dරීසි ඔයා කරනවද?
ඔහු දෙමළ කතා කරයි.,ඔයෙහි දෙමළ කතා කරයි
ඇය ප්‍රංශ කතා කරයි.,කතා ප්\u200dරංශ ඇය කරයි
අපි ජර්මන් කතා කරමු.,අපි කරමු කතා ජර්මන්
ඔවුන් චීන කතා කරති.,කරති චීන කතා ඔවුන්
මම ගණන් හදමි.,හදමි ගණන් මම
ඔයා විද්‍යාව ඉගෙනගන්නවද?,ඉගෙනගන්නවද? විද්\u200dයාව ඔයා
ඔහු ඉතිහාසය ඉගෙනගනී.,ඉතිහාසය ඔහු ඉගෙනගනී
ඇය භූගෝල විද්‍යාව ඉගෙනගනී.,ඇය භූගෝල ඉගෙනගනී විද්\u200dයාව
අපි සංගීතය අසමු.,අපි අසමු සංගීතය
ඔවුන් ක්‍රීඩා කරති.,කරති ක්\u200dරීඩා ඔවුන්
මම චිත්‍ර අඳිමි.,අඳිමි චිත්\u200dර මම
ඔයා ගෙවල් හදනවද?,ගෙවල් ඔයා හදනවද?
ඔහු පාලම් හදයි.,ඔමි පාලම් හදයි
ඇය පාරවල් හදයි.,හදයි පාරවල් ඇය
අපි ගොඩනැගිලි හදමු.,හදමු ගොඩනැගිලි අපි
ඔවුන් හෝටල් හදති.,හෝටල් ඔවුන් හදති
මම මල් වවමි.,වවමි මල් මම
ඔයා ගස් සිටවනවද?,සිටවනවද? ගස් ඔයා
ඔහු සතුන්ට කෑම දෙයි.,ඔති සතුන්ට කෑම දෙයි
ඇය කුරුල්ලන්ට කෑම දෙයි.,කෑම කුරුල්ලන්ට ඇය දෙයි
අපි සත්තු වත්තට යමු.,අපි යමු වත්තට සත්තු
ඔවුන් කෞතුකාගාරයට යති.,කෞතුකාගාරයට ඔවුන් යති
මම මුහුදු වෙරළට යමි.,මම යමි වෙරළට මුහුදු
ඔයා කඳු නගිනවද?,ඔයා නගිනවද? කඳු
ඔහු ගඟේ නායි.,ඔහු නායි ගඟේ
ඇය වැව ළඟ ඉඳියි.,වැව ඇය ළඟ ඉඳියි
අපි වනාන්තරයේ ඇවිදින්නෙමු.,ඇවිදින්නෙමු වනාන්තරයේ අපි
ඔවුන් ගොවිපොළේ වැඩ කරති.,ඔවුන් කරති වැඩ ගොවිපොළේ
මම නගරයේ ජීවත් වෙමි.,ජීවත් නගරයේ මම වෙමි
ඔයා ගමේ ජීවත් වෙනවද?,ගමේ ඔයා ජීවත් වෙනවද?
ඔහු නගරයට යයි.,ඔමි නගරයට යයි
ඇය ගමට එයි.,ගමට ඇය එයි
අපි පන්සලට යමු.,පන්සලට අපි යමු
ඔවුන් පල්ලියට යති.,යති පල්ලියට ඔවුන්
මම පින්තූරයක් බලමි.,පින්තූරයක් මම බලමි
ඔයා වීඩියෝ එකක් බලනවද?,වීඩියෝ ඔයා එකක් බලනවද?
ඔහු රූපවාහිනිය බලයි.,ඔයි රූපවාහිනිය බලයි
ඇය ගුවන් විදුලියට සවන් දෙයි.,ඇය සවන් විදුලියට ගුවන් දෙයි
අපි සංගීත භාණ්ඩ වාදනය කරමු.,අපි වාදනය භාණ්ඩ සංගීත කරමු
ඔවුන් නාට්‍ය බලති.,නාට්\u200dය ඔවුන් බලති
මම කතාවක් ලියමි.,ලියමි කතාවක් මම
ඔයා කවි ලියනවද?,කවි ඔයා ලියනවද?
ඔහු නවකතාවක් ලියයි.,ඔමු නවකතාවක් ලියයි
ඇය ලිපියක් ලියයි.,ලිපියක් ඇය ලියයි
අපි වාර්තාවක් ලියමු.,ලියමු වාර්තාවක් අපි
ඔවුන් පුවත් ලියති.,පුවත් ඔවුන් ලියති
මම දුරකථනයෙන් කතා කරමි.,කරමි දුරකථනයෙන් කතා මම
ඔයා පරිගණකයක් පාවිච්චි කරනවද?,පාවිච්චි පරිගණකයක් ඔයා කරනවද?
ඔහු අන්තර්ජාලය පාවිච්චි කරයි.,පාවිච්චි අන්තර්ජාලය ඔහු කරයි
ඇය ඊමේල් යවයි.,යවයි ඊමේල් ඇය
අපි රැස්වීමකට යමු.,අපි යමු රැස්වීමකට
ඔවුන් සාකච්ඡාවක් පවත්වති.,ඔවුන් පවත්වති සාකච්ඡාවක්
මම ප්‍රශ්නයකට පිළිතුරු දෙමි.,මම දෙමි පිළිතුරු ප්\u200dරශ්නයකට
ඔයා උත්තරය දන්නවද?,ඔයා දන්නවද? උත්තරය
ඔහු ගණන් හදයි.,හදයි ගණන් ඔහු
ඇය විද්‍යාව ඉගෙනගනී.,විද්\u200dයාව ඇය ඉගෙනගනී
අපි ඉතිහාසය ඉගෙනගමු.,ඉගෙනගමු ඉතිහාසය අපි
ඔවුන් භූගෝල විද්‍යාව ඉගෙනගනිති.,භූගෝල ඔවුන් විද්\u200dයාව ඉගෙනගනිති
මම ඉංග්‍රීසි කතා කරමි.,මම කරමි කතා ඉංග්\u200dරීසි
ඔයා සිංහල කතා කරනවද?,ඔයා කතා සිංහල කරනවද?
ඔහු දෙමළ කතා කරයි.,ඔහි දෙමළ කතා කරයි
ඇය ප්‍රංශ කතා කරයි.,ප්\u200dරංශ ඇය කතා කරයි
අපි ජර්මන් කතා කරමු.,කතා ජර්මන් අපි කරමු
ඔවුන් චීන කතා කරති.,චීන ඔවුන් කතා කරති
මම ගමන් යමි.,ගමන් මම යමි
ඔයා සංචාරය කරනවද?,ඔයා කරනවද? සංචාරය
ඔහු විදේශගත වෙයි.,ඔහු වෙයි විදේශගත
ඇය රට වටා යයි.,යයි රට වටා ඇය
අපි ලෝකය වටා යමු.,යමු ලෝකය වටා අපි
ඔවුන් අභ්‍යවකාශයට යති.,අභ්\u200dයවකාශයට ඔවුන් යති
මම සිහිනයක් දකිමි.,මම දකිමි සිහිනයක්
ඔයා බියකරු සිහිනයක් දැක්කද?,බියකරු ඔයා සිහිනයක් දැක්කද?
ඔහු හොඳ සිහිනයක් දකිනු ඇත.,ඔහු හොඳ දකිනු සිහිනයක් ඇත
ඇය අතීතය ගැන සිතයි.,අතීතය ඇය ගැන සිතයි
අපි අනාගතය ගැන කතා කරමු.,අපි අනාගතය කරමු කතා ගැන
ඔවුන් වර්තමානය භුක්ති විඳිති.,ඔවුන් වර්තමානය විඳිති භුක්ති
මම සංගීතයට සවන් දෙමි.,සවන් සංගීතයට මම දෙමි
ඔයා ගීත ගායනා කරනවද?,ඔයා ගීත කරනවද? ගායනා
ඔහු නර්තනය කරයි.,ඔමු නර්තනය කරයි
ඇය චිත්‍ර අඳියි.,අඳියි චිත්\u200dර ඇය
අපි ක්‍රීඩා කරමු.,ක්\u200dරීඩා අපි කරමු
ඔවුන් සිනමා බලති.,සිනමා ඔවුන් බලති
මම පොත් කියවමි.,පොත් මම කියවමි
ඔයා පත්තර කියවනවද?,කියවනවද? පත්තර ඔයා
ඔහු සඟරා කියවනු ඇත.,ඔහු ඇත කියවනු සඟරා
ඇය කවි ලියයි.,ඇය ලියයි කවි
අපි කතා ලියමු.,අපි ලියමු කතා
ඔවුන් නවකතා ලියති.,ලියති නවකතා ඔවුන්
මම උදව් කරමි.,මම කරමි උදව්
ඔයා උදව් ඉල්ලනවද?,ඉල්ලනවද? උදව් ඔයා
ඔහු අනුන්ට උදව් කරයි.,කරයි අනුන්ට උදව් ඔහු
ඇය දුප්පතුන්ට උදව් කරයි.,කරයි දුප්පතුන්ට උදව් ඇය
අපි රටට උදව් කරමු.,අපි රටට කරමු උදව්
ඔවුන් ලෝකයට උදව් කරති.,ඔවුන් ලෝකයට කරති උදව්
මම ප්‍රේම කරමි.,ප්\u200dරේම මම කරමි
ඔයා ආදරය කරනවද?,ආදරය ඔයා කරනවද?
ඔහු ඇයට ආදරය කරයි.,ඔහු ආදරය ඇයට කරයි
ඇය ඔහුට ආදරය කරයි.,ඇය ඔහුට කරයි ආදරය
අපි එකිනෙකාට ආදරය කරමු.,අපි ආදරය එකිනෙකාට කරමු
ඔවුන් සතුන්ට ආදරය කරති.,ඔවුන් සතුන්ට කරති ආදරය
මම සතුටින් සිටිමි.,සිටිමි සතුටින් මම
ඔයා දුකින් සිටිනවද?,සිටිනවද? දුකින් ඔයා
ඔහු සෞඛ්‍ය සම්පන්නව සිටියි.,ඔයෙහි සෞඛ්\u200dය සම්පන්නව සිටියි
ඇය සාර්ථකව සිටියි.,ඇය සිටියි සාර්ථකව
අපි එකට සිටිමු.,එකට අපි සිටිමු
ඔවුන් සතුටින් ජීවත් වෙනවා.,වෙනවා සතුටින් ජීවත් ඔවුන්
මම ප්‍රශ්න අහනවා.,මම අහනවා ප්\u200dරශ්න
ඔයා පිළිතුරු දෙනවද?,පිළිතුරු ඔයා දෙනවද?
ඔහු පාඩම් කරනවා.,ඔහු කරනවා පාඩම්
ඇය විභාගයට ලෑස්ති වෙනවා.,ඇය වෙනවා ලෑස්ති විභාගයට
අපි වැඩ කරනවා.,අපි කරනවා වැඩ
ඔවුන් මුදල් උපයනවා.,මුදල් ඔවුන් උපයනවා
මම ගෙයක් හදනවා.,හදනවා ගෙයක් මම
ඔයා කාර් එකක් පදවනවද?,ඔයා පදවනවද? එකක් කාර්
ඔහු බයිසිකලයක් පදවනවා.,ඔමි බයිසිකලයක් පදවනවා
ඇය බස් එකක් පදවනවා.,ඇය පදවනවා එකක් බස්
අපි දුම්රියක් පදවනවා.,පදවනවා දුම්රියක් අපි
ඔවුන් ගුවන් යානයක් පදවනවා.,ඔවුන් යානයක් ගුවන් පදවනවා
මම සිංහල ඉගෙනගන්නවා.,මම ඉගෙනගන්නවා සිංහල
ඔයා ඉංග්‍රීසි ඉගෙනගන්නවද?,ඔයා ඉගෙනගන්නවද? ඉංග්\u200dරීසි
ඔහු දෙමළ ඉගෙනගන්නවා.,ඉගෙනගන්නවා දෙමළ ඔහු
ඇය ප්‍රංශ ඉගෙනගන්නවා.,ප්\u200dරංශ ඇය ඉගෙනගන්නවා
අපි ජපන් ඉගෙනගන්නවා.,අපි ඉගෙනගන්නවා ජපන්
ඔවුන් චීන ඉගෙනගන්නවා.,ඉගෙනගන්නවා චීන ඔවුන්
මම අලුත් දෙයක් ඉගෙනගන්නවා.,දෙයක් අලුත් මම ඉගෙනගන්නවා
ඔයා අභියෝගයකට මුහුණ දෙනවද?,දෙනවද? අභියෝගයකට මුහුණ ඔයා
ඔහු අනාගතය ගැන හිතනවා.,ඔහි අනාගතය ගැන හිතනවා
ඇය අතීතය සිහිපත් කරනවා.,ඇය අතීතය කරනවා සිහිපත්
